ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Equip,15,0,,,
,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
graphics/megaman2.png,70,168,24,24,
graphics/megaman2.png,95,168,24,24,
graphics/megaman2.png,120,168,24,24,
graphics/megaman2.png,145,168,24,24,
graphics/megaman2.png,170,168,24,24,
graphics/megaman2.png,195,168,24,24,
graphics/megaman2.png,220,168,24,24,
graphics/megaman2.png,245,168,24,24,
graphics/megaman2.png,10,141,24,23,
graphics/megaman2.png,35,127,24,24,
graphics/megaman2.png,10,116,24,24,
graphics/megaman2.png,10,88,24,24,
graphics/megaman2.png,10,180,24,32,
graphics/megaman2.png,10,180,24,32,
graphics/megaman2.png,10,180,24,32,
graphics/megaman2.png,10,180,24,32,
graphics/megaman2.png,10,180,24,32,
