ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Opening,1,1,,,
,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
graphics/TitleScreen.png,1,10,256,256,0
graphics/TitleScreen.png,258,10,256,256,
graphics/TitleScreen.png,515,10,256,256,
graphics/TitleScreen.png,1,282,256,256,
graphics/TitleScreen.png,258,282,256,256,
graphics/TitleScreen.png,515,282,256,256,
graphics/TitleScreen.png,1,553,256,256,
graphics/TitleScreen.png,258,553,256,256,
graphics/TitleScreen.png,515,553,256,256,
graphics/TitleScreen.png,1,810,256,256,
graphics/TitleScreen.png,258,810,256,256,
graphics/TitleScreen.png,515,810,256,256,
graphics/TitleScreen.png,1,1067,256,256,
graphics/TitleScreen.png,258,1067,256,256,
graphics/TitleScreen.png,515,1067,256,256,
graphics/TitleScreen.png,1,1324,256,256,
graphics/TitleScreen.png,258,1324,256,256,
graphics/TitleScreen.png,515,1324,256,256,
graphics/TitleScreen.png,1,1581,256,256,
graphics/TitleScreen.png,258,1581,256,256,
graphics/TitleScreen.png,515,1581,256,256,
