ID,FPS,"LoopType (0: Single, 1: Loop)",,,
WoodMan1,3,1,,,
,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
graphics/woodMan.png,295,21,32,32,0
graphics/woodMan.png,295,21,32,32,
graphics/woodMan.png,112,21,32,32,
graphics/woodMan.png,145,21,32,32,
graphics/woodMan.png,112,21,32,32,
graphics/woodMan.png,145,21,32,32,
graphics/woodMan.png,220,21,37,32,
graphics/woodMan.png,295,21,32,32,
graphics/woodMan.png,295,21,32,32,
graphics/woodMan.png,112,21,32,32,
graphics/woodMan.png,145,21,32,32,
graphics/woodMan.png,112,21,32,32,
graphics/woodMan.png,145,21,32,32,
graphics/woodMan.png,220,21,37,32,
graphics/woodMan.png,295,21,32,32,
graphics/woodMan.png,295,21,32,32,
graphics/woodMan.png,112,21,32,32,
graphics/woodMan.png,145,21,32,32,
graphics/woodMan.png,112,21,32,32,
graphics/woodMan.png,145,21,32,32,
graphics/woodMan.png,220,21,37,32,
